Virus,change.2013.2015,p1,change.2015.2017,p2
ZIKV,"4.9 [4.5,5.3]",5.99e-08,"-1.9 [-2.4,-1.5]",1.09e-06
DENV3,"3.3 [2.9,3.7]",,"0.89 [0.046,1.7]",
