"","2013 ZIKV+","2015 ZIKV+","Seroconverted 2013-15"
"Luminex","0% (0-1.21%)","0% (0-1.21%)","0% (0-1.21%)"
"Seroneut","0% (0-5.21%)","0% (0-5.21%)","0% (0-5.21%)"
