Year,Country,WEEK,AFR,PF,Unknown,DENV1,DENV2,DENV3,DENV4,ZIKV,CHIKV
2015,Fiji,Week12,1,15,,0,7,0,0,0,0
2015,Fiji,Week13,0,6,,0,5,1,0,0,2
2015,Fiji,Week14,3,9,,0,1,0,0,0,0
2015,Fiji,Week15,1,9,,,,,,,
2015,Fiji,Week16,1,8,,0,1,0,0,0,0
2015,Fiji,Week17,1,7,,0,0,0,0,0,0
2015,Fiji,Week18,0,4,,0,2,0,0,0,0
2015,Fiji,Week19,0,4,,0,1,0,0,0,0
2015,Fiji,Week20,0,4,,0,0,0,0,0,0
2015,Fiji,Week21,0,2,,0,1,0,0,0,2
2015,Fiji,Week22,5,11,,0,2,0,0,0,0
2015,Fiji,Week23,1,8,,0,1,0,0,0,0
2015,Fiji,Week24,,,,0,0,0,0,0,0
2015,Fiji,Week25,1,15,,0,0,0,0,0,0
2015,Fiji,Week26,0,7,,0,1,0,0,0,0
2015,Fiji,Week27,1,12,,0,0,0,0,0,0
2015,Fiji,Week28,2,29,,0,0,0,0,2,0
2015,Fiji,Week29,0,19,,0,0,0,0,0,0
2015,Fiji,Week30,3,29,,0,1,0,0,0,0
2015,Fiji,Week31,1,7,,0,0,0,0,0,0
2015,Fiji,Week32,1,6,,,,,,,
2015,Fiji,Week33,,,,,,,,,
2015,Fiji,Week34,1,15,,0,0,0,0,0,0
2015,Fiji,Week35,0,10,,,,,,,
2015,Fiji,Week36,0,20,,0,0,0,0,0,0
2015,Fiji,Week37,0,4,,0,0,0,0,0,0
2015,Fiji,Week38,0,17,,0,0,0,0,0,0
2015,Fiji,Week39,5,5,,,,,,,
2015,Fiji,Week40,0,7,,1,0,0,0,0,0
2015,Fiji,Week41,2,3,,0,0,0,0,0,0
2015,Fiji,Week42,0,5,,0,0,0,0,0,0
2015,Fiji,Week43,2,12,,0,0,0,0,0,0
2015,Fiji,Week44,1,5,,0,0,0,0,0,0
2015,Fiji,Week45,0,28,,0,0,0,0,0,0
2015,Fiji,Week46,6,8,,0,0,0,0,0,0
2015,Fiji,Week47,0,7,,,,,,,
2015,Fiji,Week48,3,13,,0,0,0,0,0,0
2015,Fiji,Week49,1,5,,0,0,0,0,0,0
2015,Fiji,Week50,1,6,,0,0,0,0,0,0
2015,Fiji,Week51,0,8,,0,0,0,0,0,0
2015,Fiji,Week52,2,5,,0,0,0,0,0,0
2016,Fiji,Week02,1,9,0,0,0,0,0,0,0
2016,Fiji,Week03,2,5,0,0,0,0,0,0,0
2016,Fiji,Week04,0,14,0,0,0,0,0,0,0
2016,Fiji,Week05,9,17,0,0,0,0,0,0,0
2016,Fiji,Week06,6,12,0,0,0,0,0,0,0
2016,Fiji,Week07,9,17,0,0,0,0,0,1,0
2016,Fiji,Week08,5,24,0,0,0,0,0,0,0
2016,Fiji,Week09,4,19,0,0,2,0,0,5,2
2016,Fiji,Week10,46,28,0,0,1,0,0,1,1
2016,Fiji,Week11,34,33,0,0,5,0,0,2,1
2016,Fiji,Week12,44,38,0,0,0,0,0,1,5
2016,Fiji,Week13,47,52,0,0,0,0,0,0,1
2016,Fiji,Week14,44,62,1,0,0,0,0,0,3
2016,Fiji,Week15,,,0,0,0,0,0,2,13
2016,Fiji,Week16,27,43,0,0,0,0,0,3,6
2016,Fiji,Week17,20,34,0,0,0,0,0,2,11
2016,Fiji,Week18,33,31,0,0,0,0,0,1,6
2016,Fiji,Week19,14,26,0,0,0,0,0,2,8
2016,Fiji,Week20,30,27,0,0,0,0,0,3,8
2016,Fiji,Week21,18,31,0,0,0,0,1,3,6
2016,Fiji,Week22,20,26,0,0,0,0,1,1,1
